Código;Nome;Email;Instituição;Endereço;(A)utor ou (R)evisor
1000;Gustavo Barros Barbosa;gbarros@me.com;senha; Cal Stereo;;R
1001;Leonor Rocha Silva;leonor@me.com;senha;Target Realty;;R
1002;Ágatha Pinto Alves;gata@me.com;senha; Compact Disc Center;;R
1003;Júlia Araujo Gomes;jujuznha@me.com;senha;Flexus;;R
1004;Vitória Santos Gomes;vic@me.com;senha;Romp;;R
1005;Eduardo Oliveira Martins;eduardooliveiramartins@dayrep.com;senha;Harold's;;R
1006;Larissa Oliveira Melo;larissaoliveiramelo@jourrapide.com;senha;The Independent Planner;;R
1007;Cauã Gomes Correia;caugomescorreia@jourrapide.com;senha;Highland Appliance;;R
1008;Marcos Alves Cavalcanti;marcosalvescavalcanti@rhyta.com;senha;Pioneer Chicken;;R
2001;Tânia Carvalho Pinto;tania@lala.com;senha;Rainbow Life;Travessa Santa Rosa, 662,Queimados-RJ;A
2002;Rafael Martins Carvalho;rafaelmartinscarvalho@teleworm.us;senha;Maurice The Pants Man;Itaguaí-RJ;A
2003;Matilde Carvalho Rodrigues;matildecarvalhorodrigues@rhyta.com;senha;MegaSolution;Fortaleza-CE;A
2004;Nicolas Sousa Cunha;Nicolassousacunha@armyspy.com;senha;Noodle Kidoodle;Aracaju-SE;A
2005;Kaua Souza Sousa;kauasouzasousa@teleworm.us;senha;Terra Nova Garden Services;Vitória de Santo Antão-PE;A
2006;Alice Ribeiro Pinto;aliceribeiropinto@armyspy.com;senha;Harold Powell;Juazeiro-BA;A
2007;Tomás Oliveira Costa;tomsoliveiracosta@dayrep.com;senha;Sun Foods;Londrina-PR;A
2008;Luan Pereira Azevedo;luanpereiraazevedo@armyspy.com;senha;Big D Supermarkets;Suzano-SP;A
2009;Vitória Oliveira Araujo;vitriaoliveiraaraujo@jourrapide.com;senha;On Cue;Campo Grande-MS;A
2010;Paulo Correia Goncalves;paulocorreiagoncalves@jourrapide.com;senha;The White Rabbit;Barra Mansa-RJ;A
2011;Rafael Alves Oliveira;rafaelalvesoliveira@armyspy.com;senha;Silo;Feira de Santana-BA;A
2012;Igor Goncalves Alves;igorgoncalvesalves@dayrep.com;senha;County Market;Petrolina-PE;A
2013;Enzo Goncalves Rocha;enzogoncalvesrocha@dayrep.com;senha;Rink's;Fortaleza-CE;A
2014;Danilo Correia Rodrigues;danilocorreiarodrigues@teleworm.us;senha;Video Concepts;Ferraz de Vasconcelos-SP;A
2015;Daniel Rodrigues Barros;danielrodriguesbarros@rhyta.com;senha;Sun Television and Appliances;Juiz de Fora-MG;A
2016;Manuela Alves Carvalho;manuelaalvescarvalho@rhyta.com;senha;GEX;Salvador-BA;A
2017;Rebeca Rocha Correia;rebecarochacorreia@jourrapide.com;senha;KG Menswear;Belford Roxo-RJ;A

